# gap_worklist.txt - trace-driven-coverage gap-set (GENERATED)
#
# Regenerate: scripts/pcsx-redux/build_gap_worklist.py
# Definition: dumped AND NOT documented AND NOT ignored (port catalog).
# Each row = a not-yet-understood function entry to arm an exec BP on.
#
# A hit in a segment's trace.csv = this function ran in the opening =
# a documentation target. SCUS addresses (0x800xxxxx) are unambiguous;
# overlay addresses (0x801c..0x8020) are VA-aliased - attribute them with
# the trace CSV's first_mode column + the dump_stem here.
#
# Counts: 762 total (161 scus, 601 overlay).
#
# Columns: <0x-addr>  <dump_stem>   # bucket=<b> refs=<n>
0x80016e4c  80016e4c   # bucket=scus refs=1
0x80016eb8  80016eb8   # bucket=scus refs=1
0x800173bc  800173bc   # bucket=scus refs=4
0x8001763c  8001763c   # bucket=scus refs=17
0x800178f0  800178f0   # bucket=scus refs=2
0x80017910  80017910   # bucket=scus refs=5
0x80017978  80017978   # bucket=scus refs=2
0x80017bec  80017bec   # bucket=scus refs=16
0x80018db0  80018db0   # bucket=scus refs=2
0x80018f94  80018f94   # bucket=scus refs=2
0x80019098  80019098   # bucket=scus refs=1
0x80019890  80019890   # bucket=scus refs=2
0x8001a374  8001a374   # bucket=scus refs=2
0x8001a6a4  8001a6a4   # bucket=scus refs=6
0x8001a89c  8001a89c   # bucket=scus refs=4
0x8001abc8  8001abc8   # bucket=scus refs=7
0x8001c394  8001c394   # bucket=scus refs=3
0x8001c604  8001c604   # bucket=scus refs=12
0x8001c93c  8001c93c   # bucket=scus refs=2
0x8001cd68  8001cd68   # bucket=scus refs=2
0x8001d058  8001d058   # bucket=scus refs=3
0x8001d184  8001d184   # bucket=scus refs=7
0x8001ed9c  8001ed9c   # bucket=scus refs=0
0x8001fa00  8001fa00   # bucket=scus refs=16
0x80020038  80020038   # bucket=scus refs=2
0x80020310  80020310   # bucket=scus refs=2
0x8002035c  8002035c   # bucket=scus refs=2
0x800203ec  800203ec   # bucket=scus refs=2
0x80020424  80020424   # bucket=scus refs=2
0x80020e3c  80020e3c   # bucket=scus refs=0
0x80021248  80021248   # bucket=scus refs=16
0x800212c4  800212c4   # bucket=scus refs=0
0x80025c24  80025c24   # bucket=scus refs=16
0x80025cb4  80025cb4   # bucket=scus refs=9
0x800267a8  800267a8   # bucket=scus refs=13
0x800267fc  800267fc   # bucket=scus refs=2
